Date,Open,High,Low,Close,Adj Close,Volume
2000-10-18,10.460000,10.460000,10.460000,10.460000,3.679942,0
2000-10-19,10.490000,10.490000,10.490000,10.490000,3.690496,0
2000-10-20,10.510000,10.510000,10.510000,10.510000,3.697534,0
2000-10-23,10.550000,10.550000,10.550000,10.550000,3.711605,0
2000-10-24,10.540000,10.540000,10.540000,10.540000,3.708088,0
2000-10-25,10.510000,10.510000,10.510000,10.510000,3.697534,0
2000-10-26,10.490000,10.490000,10.490000,10.490000,3.690496,0
2000-10-27,10.470000,10.470000,10.470000,10.470000,3.683462,0
2000-10-30,10.460000,10.460000,10.460000,10.460000,3.679942,0
2000-10-31,10.450000,10.450000,10.450000,10.450000,3.676426,0
2000-11-01,10.500000,10.500000,10.500000,10.500000,3.694014,0
2000-11-02,10.510000,10.510000,10.510000,10.510000,3.697534,0
2000-11-03,10.470000,10.470000,10.470000,10.470000,3.683462,0
2000-11-06,10.440000,10.440000,10.440000,10.440000,3.672904,0
2000-11-07,10.450000,10.450000,10.450000,10.450000,3.676426,0
2000-11-08,10.440000,10.440000,10.440000,10.440000,3.672904,0
2000-11-09,10.480000,10.480000,10.480000,10.480000,3.686978,0
2000-11-10,10.480000,10.480000,10.480000,10.480000,3.686978,0
2000-11-13,10.500000,10.500000,10.500000,10.500000,3.694014,0
2000-11-14,10.510000,10.510000,10.510000,10.510000,3.697534,0
2000-11-15,10.530000,10.530000,10.530000,10.530000,3.704571,0
2000-11-16,10.550000,10.550000,10.550000,10.550000,3.711605,0
2000-11-17,10.540000,10.540000,10.540000,10.540000,3.708088,0
2000-11-20,10.530000,10.530000,10.530000,10.530000,3.704571,0
2000-11-21,10.530000,10.530000,10.530000,10.530000,3.704571,0
2000-11-22,10.550000,10.550000,10.550000,10.550000,3.711605,0
2000-11-24,10.540000,10.540000,10.540000,10.540000,3.708088,0
2000-11-27,10.550000,10.550000,10.550000,10.550000,3.711605,0
2000-11-28,10.570000,10.570000,10.570000,10.570000,3.718642,0
2000-11-29,10.590000,10.590000,10.590000,10.590000,3.725678,0
2000-11-30,10.630000,10.630000,10.630000,10.630000,3.739750,0
2000-12-01,10.630000,10.630000,10.630000,10.630000,3.739750,0
2000-12-04,10.630000,10.630000,10.630000,10.630000,3.739750,0
2000-12-05,10.680000,10.680000,10.680000,10.680000,3.757340,0
2000-12-06,10.730000,10.730000,10.730000,10.730000,3.774933,0
2000-12-07,10.740000,10.740000,10.740000,10.740000,3.778450,0
2000-12-08,10.710000,10.710000,10.710000,10.710000,3.767895,0
2000-12-11,10.710000,10.710000,10.710000,10.710000,3.767895,0
2000-12-12,10.700000,10.700000,10.700000,10.700000,3.764377,0
2000-12-13,10.740000,10.740000,10.740000,10.740000,3.778450,0
2000-12-14,10.780000,10.780000,10.780000,10.780000,3.792523,0
2000-12-15,10.770000,10.770000,10.770000,10.770000,3.789005,0
2000-12-18,10.780000,10.780000,10.780000,10.780000,3.792523,0
2000-12-19,10.770000,10.770000,10.770000,10.770000,3.789005,0
2000-12-20,10.810000,10.810000,10.810000,10.810000,3.803077,0
2000-12-21,10.830000,10.830000,10.830000,10.830000,3.810110,0
2000-12-22,10.830000,10.830000,10.830000,10.830000,3.810110,0
2000-12-26,10.800000,10.800000,10.800000,10.800000,3.799559,0
2000-12-27,10.780000,10.780000,10.780000,10.780000,3.792523,0
2000-12-28,10.770000,10.770000,10.770000,10.770000,3.789005,0
2000-12-29,10.610000,10.610000,10.610000,10.610000,3.732713,0
2001-01-02,10.710000,10.710000,10.710000,10.710000,3.767895,0
2001-01-03,10.660000,10.660000,10.660000,10.660000,3.750305,0
2001-01-04,10.740000,10.740000,10.740000,10.740000,3.778450,0
2001-01-05,10.800000,10.800000,10.800000,10.800000,3.799559,0
2001-01-08,10.790000,10.790000,10.790000,10.790000,3.796040,0
2001-01-09,10.760000,10.760000,10.760000,10.760000,3.785487,0
2001-01-10,10.710000,10.710000,10.710000,10.710000,3.767895,0
2001-01-11,10.720000,10.720000,10.720000,10.720000,3.771411,0
2001-01-12,10.660000,10.660000,10.660000,10.660000,3.750305,0
2001-01-16,10.680000,10.680000,10.680000,10.680000,3.757340,0
2001-01-17,10.720000,10.720000,10.720000,10.720000,3.771411,0
2001-01-18,10.750000,10.750000,10.750000,10.750000,3.781967,0
