"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 24, 2019","2.7665","2.7560","2.7560","2.7560","0.06K","0.11%"
"Jun 21, 2019","2.7635","2.7520","2.7520","2.7520","0.06K","0.04%"
"Jun 20, 2019","2.7625","2.7510","2.7510","2.7510","0.06K","1.15%"
"Jun 19, 2019","2.7310","2.7195","2.7195","2.7195","0.09K","-0.58%"
"Jun 18, 2019","2.7470","2.7355","2.7355","2.7355","0.09K","1.89%"
"Jun 17, 2019","2.6960","2.6845","2.6845","2.6845","0.11K","0.24%"
"Jun 14, 2019","2.6895","2.6780","2.6780","2.6780","0.06K","-1.12%"
"Jun 13, 2019","2.7200","2.7085","2.7085","2.7085","0.03K","0.00%"
"Jun 12, 2019","2.7200","2.7085","2.7085","2.7085","0.04K","-0.62%"
"Jun 11, 2019","2.7370","2.7255","2.7255","2.7255","0.03K","0.50%"
"Jun 10, 2019","2.7235","2.7120","2.7120","2.7120","0.05K","1.23%"
"Jun 07, 2019","2.6905","2.6790","2.6790","2.6790","0.08K","-0.94%"
"Jun 06, 2019","2.7160","2.7045","2.7045","2.7045","0.05K","0.95%"
"Jun 05, 2019","2.6905","2.6790","2.6790","2.6790","0.03K","-1.66%"
"Jun 04, 2019","2.7360","2.7240","2.7240","2.7240","0.04K","0.70%"
"Jun 03, 2019","2.7170","2.7050","2.7050","2.7050","0.04K","0.52%"
"May 31, 2019","2.7030","2.6910","2.6910","2.6910","0.11K","-0.86%"
"May 30, 2019","2.7265","2.7180","2.7180","2.7180","0.00K","-0.47%"
"May 29, 2019","2.7395","2.7310","2.7310","2.7310","0.06K","-0.90%"
"May 28, 2019","2.7645","2.7560","2.7560","2.7560","0.11K","1.90%"
"May 27, 2019","2.7130","2.7000","2.7170","2.6960","-","0.44%"
"May 26, 2019","2.7010","2.6990","2.7030","2.6950","-","-2.49%"
"May 24, 2019","2.7700","2.7625","2.7625","2.7625","0.01K","0.60%"
"May 23, 2019","2.7535","2.7460","2.7460","2.7460","0.01K","-0.07%"
"May 22, 2019","2.7555","2.7480","2.7480","2.7480","0.26K","-1.04%"
"May 21, 2019","2.7845","2.7800","2.7800","2.7800","0.16K","-0.14%"
"May 20, 2019","2.7885","2.7840","2.7840","2.7840","0.02K","-0.52%"
"May 17, 2019","2.8030","2.7985","2.7985","2.7985","0.00K","-0.30%"
"May 16, 2019","2.8115","2.8070","2.8070","2.8070","0.02K","0.36%"
"May 15, 2019","2.8015","2.7970","2.7970","2.7970","0.03K","0.29%"
"May 14, 2019","2.7935","2.7890","2.7890","2.7890","0.03K","0.23%"
"May 13, 2019","2.7870","2.7825","2.7825","2.7825","0.02K","-1.88%"
"May 10, 2019","2.8405","2.8360","2.8360","2.8360","0.03K","0.12%"
"May 09, 2019","2.8370","2.8325","2.8325","2.8325","0.09K","-0.26%"
"May 08, 2019","2.8445","2.8400","2.8400","2.8400","0.06K","-0.65%"
"May 07, 2019","2.8630","2.8555","2.8555","2.8555","0.28K","-1.45%"
"May 06, 2019","2.9050","2.8975","2.8975","2.8975","0.04K","0.61%"
"May 03, 2019","2.8875","2.8800","2.8800","2.8800","0.18K","1.23%"
"May 02, 2019","2.8525","2.8450","2.8450","2.8450","0.10K","-0.99%"
"May 01, 2019","2.8810","2.8745","2.8745","2.8745","0.23K","-3.19%"
"Apr 30, 2019","2.9760","2.9715","2.9715","2.9715","0.03K","0.25%"
"Apr 29, 2019","2.9685","2.9640","2.9640","2.9640","0.03K","0.25%"
"Apr 26, 2019","2.9610","2.9565","2.9565","2.9565","0.03K","0.97%"
"Apr 25, 2019","2.9325","2.9280","2.9280","2.9280","0.03K","-1.49%"
"Apr 24, 2019","2.9770","2.9725","2.9725","2.9725","0.02K","0.44%"
"Apr 23, 2019","2.9640","2.9595","2.9595","2.9595","0.05K","-0.19%"
"Apr 22, 2019","2.9695","2.9650","2.9650","2.9650","0.06K","1.76%"
"Apr 19, 2019","2.9180","2.9180","2.9180","2.9180","-","-2.28%"
"Apr 18, 2019","2.9860","2.9815","2.9815","2.9815","0.09K","-1.45%"
"Apr 17, 2019","3.0300","3.0255","3.0255","3.0255","0.03K","0.97%"
"Apr 16, 2019","3.0010","2.9965","2.9965","2.9965","0.03K","-0.13%"
"Apr 15, 2019","3.0050","3.0005","3.0005","3.0005","0.04K","-0.13%"
"Apr 12, 2019","3.0090","3.0200","3.0200","3.0200","0.00K","1.69%"
"Apr 11, 2019","2.9590","2.9545","2.9545","2.9545","0.00K","-1.23%"
"Apr 10, 2019","2.9960","2.9915","2.9915","2.9915","0.03K","-0.07%"
"Apr 09, 2019","2.9980","2.9935","2.9935","2.9935","0.04K","0.22%"
"Apr 08, 2019","2.9915","2.9870","2.9870","2.9870","0.04K","1.42%"
"Apr 05, 2019","2.9495","2.9450","2.9450","2.9450","0.02K","-0.37%"
"Apr 04, 2019","2.9605","2.9560","2.9560","2.9560","0.07K","-1.17%"
"Apr 03, 2019","2.9955","2.9910","2.9910","2.9910","0.01K","1.30%"
"Apr 02, 2019","2.9570","2.9525","2.9525","2.9525","0.01K","-0.44%"
"Apr 01, 2019","2.9700","2.9655","2.9655","2.9655","0.03K","-0.30%"
"Mar 29, 2019","2.9790","2.9745","2.9745","2.9745","0.01K","2.00%"
"Mar 28, 2019","2.9205","2.9160","2.9160","2.9160","0.12K","0.33%"
"Mar 27, 2019","2.9110","2.9065","2.9065","2.9065","0.01K","0.31%"
"Mar 26, 2019","2.9020","2.9005","2.9005","2.9005","0.00K","-0.34%"
"Mar 25, 2019","2.9120","2.9105","2.9105","2.9105","0.00K","0.48%"
"Mar 22, 2019","2.8980","2.8965","2.8965","2.8965","0.01K","-1.98%"
"Mar 21, 2019","2.9565","2.9550","2.9550","2.9550","0.02K","-0.47%"
"Mar 20, 2019","2.9705","2.9690","2.9690","2.9690","0.09K","0.10%"
"Mar 19, 2019","2.9675","2.9660","2.9660","2.9660","0.00K","0.47%"
"Mar 18, 2019","2.9535","2.9520","2.9520","2.9520","0.05K","0.14%"
"Mar 15, 2019","2.9495","2.9480","2.9480","2.9480","0.03K","0.70%"
"Mar 14, 2019","2.9290","2.9275","2.9275","2.9275","0.10K","-1.36%"
"Mar 13, 2019","2.9695","2.9680","2.9680","2.9680","0.11K","0.19%"
"Mar 12, 2019","2.9640","2.9625","2.9625","2.9625","0.03K","0.94%"
