"Date","Price","Open","High","Low","Change %"
"Dec 11, 2018","683.65","678.41","684.71","675.62","0.78%"
"Dec 10, 2018","678.35","674.80","680.80","673.79","0.53%"
"Dec 07, 2018","674.75","675.57","677.30","671.05","-0.12%"
"Dec 06, 2018","675.55","672.64","679.22","672.64","0.43%"
"Dec 05, 2018","672.65","670.65","674.28","668.56","0.30%"
"Dec 04, 2018","670.65","669.20","670.85","664.75","0.22%"
"Dec 03, 2018","669.20","671.63","671.63","663.60","-0.36%"
"Nov 30, 2018","671.63","670.50","674.42","669.11","0.17%"
"Nov 29, 2018","670.50","668.97","671.59","667.44","0.24%"
"Nov 28, 2018","668.90","675.35","676.25","669.29","-0.96%"
"Nov 27, 2018","675.41","676.80","678.26","674.58","-0.21%"
"Nov 26, 2018","676.80","674.28","678.26","673.03","0.32%"
"Nov 23, 2018","674.67","668.73","676.50","668.73","0.94%"
"Nov 22, 2018","668.40","666.48","669.17","664.46","0.29%"
"Nov 21, 2018","666.48","671.87","671.95","665.79","-0.78%"
"Nov 20, 2018","671.74","669.57","673.29","669.39","0.32%"
"Nov 19, 2018","669.60","669.91","672.75","666.46","-0.04%"
"Nov 16, 2018","669.88","673.65","677.45","669.75","-0.56%"
"Nov 15, 2018","673.65","682.52","682.52","673.33","-1.29%"
"Nov 14, 2018","682.48","691.33","692.00","682.14","-1.30%"
"Nov 13, 2018","691.50","687.64","693.99","684.98","0.57%"
"Nov 12, 2018","687.58","684.49","688.44","682.68","0.46%"
"Nov 09, 2018","684.46","677.75","685.17","677.75","0.99%"
"Nov 08, 2018","677.75","675.53","678.84","672.87","0.34%"
"Nov 07, 2018","675.47","680.40","680.40","673.20","-0.74%"
"Nov 06, 2018","680.50","679.38","682.65","677.25","0.16%"
"Nov 05, 2018","679.38","685.40","687.66","678.56","-0.94%"
"Nov 02, 2018","685.82","688.98","688.98","685.82","-0.38%"
"Nov 01, 2018","688.45","695.81","695.81","687.47","-1.08%"
"Oct 31, 2018","696.00","693.52","701.14","691.50","0.36%"
"Oct 30, 2018","693.52","693.48","695.42","691.34","0.01%"
"Oct 29, 2018","693.48","687.36","693.48","684.64","0.85%"
"Oct 26, 2018","687.64","687.61","693.63","686.93","0.05%"
"Oct 25, 2018","687.33","690.72","690.88","685.28","-0.47%"
"Oct 24, 2018","690.60","682.13","690.60","682.03","1.24%"
"Oct 23, 2018","682.13","682.35","687.67","681.88","-0.03%"
"Oct 22, 2018","682.35","679.74","683.73","675.99","0.37%"
"Oct 19, 2018","679.86","676.23","681.36","672.25","0.54%"
"Oct 18, 2018","676.23","673.79","677.68","670.36","0.38%"
"Oct 17, 2018","673.68","669.21","673.80","668.16","0.65%"
"Oct 16, 2018","669.33","676.12","677.35","667.13","-1.04%"
"Oct 15, 2018","676.34","680.06","680.32","676.34","-0.49%"
"Oct 12, 2018","679.65","683.28","683.28","675.20","-0.55%"
"Oct 11, 2018","683.42","688.31","688.31","680.09","-0.70%"
"Oct 10, 2018","688.25","680.75","688.25","680.33","1.10%"
"Oct 09, 2018","680.75","678.98","686.67","678.98","0.25%"
"Oct 08, 2018","679.08","676.00","683.15","675.12","0.46%"
"Oct 05, 2018","676.00","675.25","678.10","668.14","0.11%"
"Oct 04, 2018","675.25","663.92","676.83","663.16","1.72%"
"Oct 03, 2018","663.86","661.45","664.45","657.29","0.36%"
"Oct 02, 2018","661.48","658.79","662.49","655.27","0.41%"
"Oct 01, 2018","658.79","657.77","659.10","653.54","0.14%"
"Sep 28, 2018","657.84","659.96","664.05","656.20","-0.31%"
"Sep 27, 2018","659.90","663.06","665.49","658.11","-0.47%"
"Sep 26, 2018","663.00","666.63","668.89","660.53","-0.56%"
"Sep 25, 2018","666.75","673.25","675.54","666.64","-0.97%"
"Sep 24, 2018","673.25","666.34","673.50","664.74","0.98%"
"Sep 21, 2018","666.71","667.42","671.32","663.20","-0.04%"
"Sep 20, 2018","667.00","679.47","681.78","666.50","-1.88%"
"Sep 19, 2018","679.75","683.86","684.36","679.67","-0.60%"
"Sep 18, 2018","683.86","686.37","687.12","682.20","-0.35%"
