"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 02, 2021","4.3040","4.2830","4.3110","4.2520","39.64K","0.61%"
"Sep 01, 2021","4.2780","4.3655","4.3730","4.2560","52.79K","-2.22%"
"Aug 31, 2021","4.3750","4.3785","4.3935","4.3360","57.93K","-0.01%"
"Aug 30, 2021","4.3755","4.3380","4.4180","4.3305","41.88K","1.00%"
"Aug 27, 2021","4.3320","4.2495","4.3415","4.2375","61.55K","1.70%"
"Aug 26, 2021","4.2595","4.2780","4.2875","4.2305","42.57K","-0.39%"
"Aug 25, 2021","4.2760","4.2575","4.3045","4.2415","36.18K","0.36%"
"Aug 24, 2021","4.2605","4.2080","4.2970","4.1920","38.81K","0.94%"
"Aug 23, 2021","4.2210","4.1200","4.2370","4.1200","35.72K","2.38%"
"Aug 20, 2021","4.1230","4.0495","4.1415","4.0450","41.49K","1.97%"
"Aug 19, 2021","4.0435","4.1170","4.1365","3.9665","53.51K","-1.86%"
"Aug 18, 2021","4.1200","4.2235","4.2490","4.1000","37.85K","-2.01%"
"Aug 17, 2021","4.2045","4.3225","4.3375","4.2000","39.78K","-2.71%"
"Aug 16, 2021","4.3215","4.3590","4.3735","4.2985","29.09K","-1.37%"
"Aug 13, 2021","4.3815","4.3515","4.4190","4.3415","23.28K","0.74%"
"Aug 12, 2021","4.3495","4.3590","4.4040","4.3270","27.11K","-0.24%"
"Aug 11, 2021","4.3600","4.3405","4.3695","4.3100","25.29K","0.32%"
"Aug 10, 2021","4.3460","4.2835","4.3635","4.2760","27.14K","1.51%"
"Aug 09, 2021","4.2815","4.3280","4.3350","4.2365","33.45K","-1.33%"
"Aug 06, 2021","4.3390","4.3350","4.3990","4.3220","26.84K","0.14%"
"Aug 05, 2021","4.3330","4.3225","4.3460","4.2970","12.29K","0.28%"
"Aug 04, 2021","4.3210","4.3735","4.3895","4.3090","14.60K","-1.22%"
"Aug 03, 2021","4.3745","4.4180","4.4315","4.3315","17.63K","-0.93%"
