"Date","Price","Open","High","Low","Change %"
"May 10, 2021","696.48","695.41","697.25","690.28","0.23%"
"May 07, 2021","694.88","700.15","700.15","692.03","-0.69%"
"May 06, 2021","699.70","705.10","705.17","698.75","-0.70%"
"May 05, 2021","704.65","703.75","705.65","698.66","0.19%"
"May 04, 2021","703.30","704.35","707.78","700.42","-0.09%"
"May 03, 2021","703.90","710.75","711.75","702.88","-0.90%"
"Apr 30, 2021","710.30","709.38","715.32","705.60","0.18%"
"Apr 29, 2021","709.00","696.23","711.20","693.95","1.88%"
"Apr 28, 2021","695.93","702.00","703.82","695.82","-0.78%"
"Apr 27, 2021","701.40","705.05","705.59","698.74","-0.48%"
"Apr 26, 2021","704.75","713.40","713.75","703.32","-1.17%"
"Apr 23, 2021","713.10","706.83","715.42","703.50","0.93%"
"Apr 22, 2021","706.53","698.15","709.00","697.47","1.24%"
"Apr 21, 2021","697.85","697.00","699.00","693.33","0.21%"
"Apr 20, 2021","696.40","700.58","703.00","694.17","-0.57%"
"Apr 19, 2021","700.40","702.75","703.90","698.75","-0.29%"
"Apr 16, 2021","702.45","698.48","705.50","697.77","0.59%"
"Apr 15, 2021","698.33","709.61","709.61","697.97","-1.49%"
"Apr 14, 2021","708.90","708.08","710.70","704.22","0.14%"
"Apr 13, 2021","707.93","713.31","714.60","706.15","-0.73%"
"Apr 12, 2021","713.16","710.60","715.47","705.72","0.38%"
"Apr 09, 2021","710.45","708.23","713.40","707.11","0.34%"
"Apr 08, 2021","708.06","713.66","714.15","704.78","-0.76%"
"Apr 07, 2021","713.49","717.88","718.52","711.36","-0.58%"
"Apr 06, 2021","717.68","721.51","722.75","715.92","-0.51%"
"Apr 05, 2021","721.38","717.13","724.00","710.70","0.66%"
"Apr 02, 2021","716.63","717.13","717.27","716.25","0.00%"
"Apr 01, 2021","716.63","720.45","721.15","713.40","-0.50%"
"Mar 31, 2021","720.20","729.30","729.30","717.53","-1.20%"
"Mar 30, 2021","728.93","734.05","737.48","727.58","-0.65%"
"Mar 29, 2021","733.68","732.85","740.42","729.93","0.14%"
"Mar 26, 2021","732.63","725.22","733.51","723.48","1.07%"
"Mar 25, 2021","724.90","727.70","734.75","724.45","-0.33%"
"Mar 24, 2021","727.32","723.07","728.73","719.17","0.64%"
"Mar 23, 2021","722.69","716.80","724.44","716.80","0.87%"
"Mar 22, 2021","716.43","713.30","720.69","712.97","0.47%"
"Mar 19, 2021","713.08","720.60","722.73","712.71","-0.99%"
"Mar 18, 2021","720.23","722.45","731.10","717.69","-0.29%"
"Mar 17, 2021","722.30","727.76","733.68","721.70","-0.73%"
"Mar 16, 2021","727.58","723.10","730.47","721.21","0.69%"
"Mar 15, 2021","722.60","724.03","724.13","718.54","-0.15%"
"Mar 12, 2021","723.65","713.30","724.54","713.30","1.50%"
"Mar 11, 2021","712.93","724.38","724.38","712.69","-1.55%"
"Mar 10, 2021","724.13","735.37","735.59","723.60","-1.46%"
"Mar 09, 2021","734.87","736.51","737.84","728.94","-0.17%"
"Mar 08, 2021","736.13","733.41","743.36","733.22","0.42%"
"Mar 05, 2021","733.03","732.10","738.80","728.32","0.15%"
"Mar 04, 2021","731.90","727.53","733.20","724.30","0.65%"
"Mar 03, 2021","727.20","729.00","734.90","727.05","-0.22%"
"Mar 02, 2021","728.79","722.92","733.17","720.40","0.86%"
"Mar 01, 2021","722.55","723.89","725.34","718.16","-0.13%"
"Feb 26, 2021","723.51","715.98","728.38","715.98","1.08%"
"Feb 25, 2021","715.78","700.90","718.33","697.39","2.14%"
"Feb 24, 2021","700.75","704.71","706.55","698.94","-0.51%"
"Feb 23, 2021","704.33","706.97","708.53","704.09","-0.32%"
"Feb 22, 2021","706.60","708.65","712.20","706.39","-0.25%"
"Feb 19, 2021","708.40","710.98","710.98","703.85","-0.33%"
"Feb 18, 2021","710.73","713.19","714.75","708.05","-0.31%"
"Feb 17, 2021","712.94","718.58","722.84","712.44","-0.75%"
"Feb 16, 2021","718.33","719.33","719.90","714.16","-0.05%"
"Feb 15, 2021","718.70","721.75","722.10","715.57","-0.39%"
"Feb 12, 2021","721.50","726.25","727.76","720.00","-0.59%"
"Feb 11, 2021","725.75","725.13","727.25","719.78","0.12%"
"Feb 10, 2021","724.88","734.67","734.67","723.45","-1.30%"
"Feb 09, 2021","734.40","735.50","735.66","729.86","-0.11%"
"Feb 08, 2021","735.20","739.01","740.18","732.63","-0.48%"
"Feb 05, 2021","738.76","735.65","739.43","732.30","0.46%"
"Feb 04, 2021","735.40","732.63","739.95","732.45","0.41%"
"Feb 03, 2021","732.38","732.63","735.42","728.90","-0.01%"
"Feb 02, 2021","732.44","733.75","739.13","730.39","-0.14%"
"Feb 01, 2021","733.50","734.82","738.47","725.50","-0.15%"
"Jan 29, 2021","734.59","735.96","738.79","731.26","-0.15%"
"Jan 28, 2021","735.73","738.63","745.69","735.21","-0.35%"
"Jan 27, 2021","738.33","733.20","740.58","732.33","0.73%"
"Jan 26, 2021","732.95","732.97","734.22","727.31","0.03%"
"Jan 25, 2021","732.75","727.60","736.59","723.65","0.74%"
"Jan 22, 2021","727.38","717.38","729.33","717.38","1.43%"
"Jan 21, 2021","717.15","722.09","722.09","710.99","-0.65%"
"Jan 20, 2021","721.87","737.28","738.49","720.58","-2.05%"
"Jan 19, 2021","737.00","734.00","739.10","728.32","0.48%"
"Jan 18, 2021","733.50","734.80","739.54","732.13","-0.14%"
"Jan 15, 2021","734.55","726.48","737.76","726.47","1.15%"
"Jan 14, 2021","726.23","737.75","741.32","725.27","-1.49%"
"Jan 13, 2021","737.25","725.00","745.82","724.08","1.72%"
"Jan 12, 2021","724.75","719.48","729.33","716.85","0.77%"
"Jan 11, 2021","719.23","712.13","721.50","712.04","1.03%"
